,Date,Price,SMA10,SMA20,SMA50,SMA100,SMA200,EMA13,EMA25,RSI,UBB,LBB,ATR,CE,TSI
3719,2014-10-15,305.97,315.052004,319.50200099999995,326.9094,328.20076090000003,338.63905570000003,315.18472175586,319.94307788130624,32.45381756136497,333.4395619594681,312.5332205202659,6.886997857142851,304.4990064285715,-21.779245602364586
3720,2014-10-16,302.85999,313.49700300000006,318.39500050000004,326.68879960000004,328.1211607,338.15940559999996,313.4240457907371,318.62899419812885,28.4929008606221,333.92042047804597,310.6322905109771,7.39628571428571,302.9711428571429,-23.866271924735855
3721,2014-10-17,303.64001,311.58700500000003,317.0110005,326.53259959999997,328.05596080000004,337.68775565,312.0263263920604,317.4759954136574,30.535331905781575,332.61989415363547,309.2065536731823,7.519857857142853,302.6004264285715,-25.242257571879932
3722,2014-10-20,306.20999,309.98800300000005,316.0965,326.32079960000004,327.9802607,337.2366056,311.19542119319465,316.60937961260686,33.31961630413491,331.99836289120003,308.1455685544,7.490574285714282,302.6882771428572,-25.360341205606186
3723,2014-10-21,315.32999,309.82300100000003,315.68149950000003,326.26079960000004,328.0080607,336.84510555,311.78607387988114,316.5109650270217,47.982571692582574,331.18374594658144,307.93037627670935,7.672003571428568,302.1439892857143,-21.951831460105
3724,2014-10-22,312.97,308.85,314.91949999999997,326.1337994,328.04936069999997,336.41980555000004,311.95520618275526,316.2385831018662,44.98154611184215,329.285355746398,307.736572126801,7.609146428571425,302.33256071428576,-19.846936371437756
3725,2014-10-23,313.17999,308.63099900000003,314.482,325.8717992,328.10926059999997,335.97610545000003,312.1301752995045,316.00330670941497,40.4552639419041,328.47707735861746,307.4844613206913,7.512717857142852,301.59184642857144,-18.094731656017625
3726,2014-10-24,287.06,306.197998,312.67450049999997,324.9487994,327.9120606,335.40635540000005,308.5487216852896,313.77689850099847,26.777673847874894,330.68498042878724,303.6692605356063,9.273432142857136,296.2896935714286,-22.979544967284802
3727,2014-10-27,289.97,304.54999699999996,311.082,324.0755994,327.57606050000004,334.86790540000004,305.8946185873911,311.9455986163063,31.588261044960234,331.1970660037896,301.0244669981052,9.264147857142847,296.31754642857146,-25.46836990944878
3728,2014-10-28,295.59,303.277997,309.7395,323.2967994,327.2352604,334.39095535,304.42253021776384,310.6874756458212,31.494866141242056,330.24304119144904,299.4877294042755,9.140577142857135,294.84926857142864,-25.399830077053497
