,Date,Price,SMA10,SMA20,SMA50,SMA100,SMA200,EMA12,EMA26,RSI,UBB,LBB
1517,2006-01-17,44.0,46.077099999999994,47.28305,47.28305,44.99331,44.99331,45.98408807737721,45.98408807737721,14.729729729729698,50.69123689103265,45.578956554483675
1518,2006-01-18,44.32,45.751099999999994,47.03855,47.03855,45.01281,45.01281,45.728074527011486,45.728074527011486,19.971671388101953,50.564265424226356,45.27569228788683
1519,2006-01-19,44.45,45.4711,46.84255,46.84255,45.03421,45.03421,45.53144767670203,45.53144767670203,23.01943198804186,50.490337821333576,45.01865608933321
1520,2006-01-20,43.92,45.0981,46.63155,46.63155,45.049710000000005,45.049710000000005,45.2835326495171,45.2835326495171,21.538461538461533,50.44765694294534,44.72349652852733
1521,2006-01-23,43.73,44.6841,46.36955,46.36955,45.059110000000004,45.059110000000004,45.044527626514466,45.044527626514466,23.69230769230768,50.22893246900986,44.43985876549507
1522,2006-01-24,44.02,44.3781,46.10955,46.10955,45.07441000000001,45.07441000000001,44.886907991666085,44.886907991666085,22.012578616352272,49.859463036183975,44.23459348190801
1523,2006-01-25,43.6,44.173,45.82855,45.82855,45.08340999999999,45.08340999999999,44.68892214679438,44.68892214679438,21.7054263565892,49.43665488089993,44.024497559550035
1524,2006-01-26,44.68,44.148,45.634550000000004,45.634550000000004,45.111810000000006,45.111810000000006,44.68754950882602,44.68754950882602,29.172510518934118,49.03557544752779,43.93403727623611
1525,2006-01-27,45.22,44.233999999999995,45.49255,45.49255,45.14891000000001,45.14891000000001,44.76946496900663,44.76946496900663,32.21476510067117,48.69875749730645,43.889446251346776
1526,2006-01-30,44.96,44.290000000000006,45.34105,45.34105,45.16231,45.16231,44.79877805069791,44.79877805069791,34.682080924855526,48.3293147296937,43.846917635153154
1527,2006-01-31,44.82,44.372,45.22455,45.22455,45.17321,45.17321,44.802042965975154,44.802042965975154,42.62120404901437,48.0952347505145,43.78920762474275
1528,2006-02-01,43.98,44.338,45.04455,45.04455,45.183409999999995,45.183409999999995,44.67557481736359,44.67557481736359,41.7391304347826,47.73944603158394,43.69710198420803
1529,2006-02-02,42.74,44.166999999999994,44.81905,44.81905,45.18131,45.18131,44.37779407623073,44.37779407623073,37.383177570093494,47.491586463242825,43.48278176837859
1530,2006-02-03,38.33,43.608000000000004,44.35305,44.35305,45.11961,45.11961,43.44736421834908,43.44736421834908,21.872103799814667,48.01442779502313,42.52236110248844
1531,2006-02-06,37.95,43.03,43.85705,43.85705,45.05981,45.05981,42.6016158770646,42.6016158770646,21.912720519962903,48.146248353513485,41.71245082324326
1532,2006-02-07,37.52,42.38,43.37905,43.37905,45.00401,45.00401,41.81982881905466,41.81982881905466,18.75000000000003,48.247593993951945,40.94477800302403
1533,2006-02-08,38.17,41.837,43.005,43.005,44.95861,44.95861,41.258316693046254,41.258316693046254,22.45614035087719,48.271819673548436,40.37159016322578
1534,2006-02-09,37.99,41.168,42.658,42.658,44.910509999999995,44.910509999999995,40.75549874026991,40.75549874026991,23.16742081447964,48.29245266570744,39.84077366714628
1535,2006-02-10,38.52,40.498000000000005,42.366,42.366,44.86821,44.86821,40.41157585715146,40.41157585715146,27.129060579455683,48.22970603126085,39.434146984369576
