PERMNO,date,BIDLO,ASKHI,PRC,vwretd
84788,2000-08-10,29.75000,31.75000,30.43750,-0.009367
84788,2000-08-11,30.31250,34.00000,33.68750,0.008345
84788,2000-08-14,32.68750,35.18750,34.87500,0.012661
84788,2000-08-15,34.37500,38.31250,37.56250,-0.003819
84788,2000-08-16,37.53125,39.87500,38.62500,-0.001037
84788,2000-08-17,36.87500,39.06250,38.25000,0.011605
84788,2000-08-18,38.93750,40.12500,39.00000,-0.002649
84788,2000-08-21,36.50000,39.87500,37.50000,0.003793
84788,2000-08-22,36.06250,38.18750,36.50000,0.000292
84788,2000-08-23,35.00000,39.50000,38.81250,0.005030
84788,2000-08-24,38.81250,40.50000,39.37500,0.003506
84788,2000-08-25,38.56250,40.06250,39.93750,0.000084
84788,2000-08-28,38.56250,42.50000,39.12500,0.004815
84788,2000-08-29,38.87500,40.87500,39.62500,-0.000658
84788,2000-08-30,42.00000,43.96875,42.93750,-0.000758
84788,2000-08-31,41.43750,43.18750,41.50000,0.011971
84788,2000-09-01,41.00000,42.50000,41.50000,0.004986
84788,2000-09-05,40.25000,46.31250,45.68750,-0.008874
84788,2000-09-06,45.68750,49.62500,45.87500,-0.012165
84788,2000-09-07,43.00000,47.00000,43.50000,0.007519
84788,2000-09-08,42.50000,45.00000,42.93750,-0.008837
84788,2000-09-11,42.18750,45.21875,42.37500,-0.004717
84788,2000-09-12,42.25000,44.18750,42.68750,-0.005147
84788,2000-09-13,41.00000,43.12500,42.43750,0.003437
84788,2000-09-14,43.75000,46.00000,44.87500,0.001404
84788,2000-09-15,42.87500,45.43750,43.62500,-0.011252
84788,2000-09-18,41.87500,44.62500,42.81250,-0.018458
84788,2000-09-19,39.12500,42.75000,40.75000,0.012571
84788,2000-09-20,37.37500,40.50000,37.50000,-0.004483
84788,2000-09-21,37.25000,40.50000,40.06250,-0.005631
84788,2000-09-22,38.31250,42.12500,41.43750,0.004009
84788,2000-09-25,40.00000,42.56250,40.37500,-0.004854
84788,2000-09-26,39.56250,41.12500,39.75000,-0.009139
84788,2000-09-27,35.50000,39.62500,37.87500,-0.002495
84788,2000-09-28,37.12500,40.25000,40.00000,0.022718
84788,2000-09-29,37.62500,41.25000,38.43750,-0.012354
84788,2000-10-02,35.25000,38.43750,35.87500,-0.005967
84788,2000-10-03,35.00000,37.25000,35.06250,-0.012101
84788,2000-10-04,32.50000,37.06250,36.00000,0.006403
84788,2000-10-05,32.00000,36.62500,33.56250,-0.001192
84788,2000-10-06,30.18750,33.25000,31.56250,-0.021602
84788,2000-10-09,27.37500,30.56250,30.06250,-0.003434
84788,2000-10-10,28.87500,32.71875,30.43750,-0.014331
84788,2000-10-11,27.62500,30.25000,27.81250,-0.017175
84788,2000-10-12,24.62500,28.81250,25.12500,-0.027423
84788,2000-10-13,23.50000,28.87500,28.43750,0.038630
84788,2000-10-16,24.12500,28.31250,24.31250,0.002233
84788,2000-10-17,20.87500,25.18750,21.93750,-0.019825
84788,2000-10-18,19.37500,25.37500,25.12500,-0.008593
84788,2000-10-19,24.18750,28.12500,27.75000,0.037020
84788,2000-10-20,27.12500,31.25000,30.81250,0.009775
84788,2000-10-23,27.62500,30.37500,30.00000,0.000144
84788,2000-10-24,28.81250,33.87500,29.56250,-0.000980
84788,2000-10-25,31.75000,36.50000,31.87500,-0.027450
84788,2000-10-26,31.00000,37.50000,36.87500,0.000603
84788,2000-10-27,33.87500,37.50000,35.62500,0.008625
84788,2000-10-30,30.26563,34.37500,32.87500,0.006715
84788,2000-10-31,32.06250,36.87500,36.62500,0.028395
84788,2000-11-01,35.68750,40.00000,37.37500,-0.004313
84788,2000-11-02,37.50000,39.87500,39.75000,0.010034
84788,2000-11-03,36.87500,40.87500,37.56250,0.000548
84788,2000-11-06,34.75000,38.62500,36.56250,0.001272
84788,2000-11-07,35.56250,39.43750,36.93750,-0.000987
84788,2000-11-08,33.25000,37.00000,33.87500,-0.018907
84788,2000-11-09,29.87500,33.00000,31.25000,-0.009808
84788,2000-11-10,30.00000,31.87500,30.06250,-0.026389
84788,2000-11-13,27.43750,30.10938,27.81250,-0.013356
84788,2000-11-14,25.75000,29.87500,28.93750,0.026070
84788,2000-11-15,28.43750,30.81250,29.50000,0.005432
84788,2000-11-16,27.75000,30.50000,27.81250,-0.016411
84788,2000-11-17,26.87500,29.62500,27.43750,-0.004486
84788,2000-11-20,25.00000,27.93750,25.81250,-0.023896
84788,2000-11-21,23.62500,26.87500,24.25000,0.000294
84788,2000-11-22,22.12500,27.50000,25.18750,-0.020858
84788,2000-11-24,26.06250,29.12500,28.93750,0.021101
84788,2000-11-27,27.00000,30.75000,28.00000,0.003675
84788,2000-11-28,24.62500,26.18750,25.03125,-0.016877
84788,2000-11-29,24.25000,27.50000,26.93750,0.000640
84788,2000-11-30,22.87500,26.18750,24.68750,-0.019168
84788,2000-12-01,23.00000,26.75000,24.62500,0.006217
84788,2000-12-04,23.25000,27.18750,26.56250,0.003689
84788,2000-12-05,24.75000,27.62500,25.37500,0.045360
84788,2000-12-06,23.62500,26.00000,23.62500,-0.016468
84788,2000-12-07,20.12500,23.43750,21.37500,-0.005876
84788,2000-12-08,21.25000,24.68750,23.43750,0.028504
84788,2000-12-11,21.75000,26.12500,25.31250,0.011986
84788,2000-12-12,24.31250,27.50000,25.87500,-0.010891
84788,2000-12-13,23.50000,26.62500,23.75000,-0.011568
84788,2000-12-14,22.59375,24.68750,22.68750,-0.016984
84788,2000-12-15,22.00000,24.25000,22.87500,-0.017778
84788,2000-12-18,18.93750,21.18750,19.87500,0.005421
84788,2000-12-19,17.37500,20.87500,18.25000,-0.015778
84788,2000-12-20,15.62500,17.87500,16.68750,-0.035199
84788,2000-12-21,14.87500,17.75000,15.18750,0.005463
84788,2000-12-22,15.25000,16.54688,15.56250,0.030143
84788,2000-12-26,16.25000,18.50000,16.93750,0.005523
84788,2000-12-27,15.56250,17.43750,16.87500,0.013911
84788,2000-12-28,16.62500,18.25000,17.37500,0.009406
84788,2000-12-29,15.00000,17.12500,15.56250,-0.011225
84788,2001-01-02,13.62500,16.00000,13.87500,-0.034230
84788,2001-01-03,13.56250,17.87500,17.56250,0.053170
84788,2001-01-04,15.43750,17.56250,15.50000,-0.011674
84788,2001-01-05,13.56250,15.87500,14.56250,-0.028909
84788,2001-01-08,13.75000,15.56250,14.93750,-0.003410
84788,2001-01-09,14.18750,16.62500,16.37500,0.004794
84788,2001-01-10,15.56250,17.00000,16.50000,0.013930
84788,2001-01-11,15.62500,17.31250,17.00000,0.015063
84788,2001-01-12,17.12500,18.50000,17.68750,-0.003619
84788,2001-01-16,17.25000,18.37500,18.06250,0.006257
84788,2001-01-17,17.75000,19.56250,18.37500,0.004447
84788,2001-01-18,17.93750,19.50000,19.50000,0.012175
84788,2001-01-19,18.68750,20.37500,19.93750,-0.004109
84788,2001-01-22,18.50000,19.93750,18.50000,0.000281
84788,2001-01-23,18.25000,19.31250,18.95313,0.015817
84788,2001-01-24,19.00000,22.37500,21.87500,0.003372
84788,2001-01-25,19.00000,21.75000,19.00000,-0.007521
84788,2001-01-26,18.87500,20.50000,19.50000,-0.000656
84788,2001-01-29,18.81250,20.75000,20.12500,0.009004
84788,2001-01-30,18.67188,20.68750,18.93750,0.006590
84788,2001-01-31,17.06250,19.56250,17.31250,-0.006676
84788,2001-02-01,15.75000,17.18750,16.25000,0.003826
84788,2001-02-02,14.25000,16.18750,14.37500,-0.018530
84788,2001-02-05,14.31250,14.93750,14.43750,0.002122
84788,2001-02-06,13.56250,15.87500,15.81250,0.000441
84788,2001-02-07,14.56250,15.81250,15.00000,-0.008672
84788,2001-02-08,14.37500,15.87500,14.37500,-0.006499
84788,2001-02-09,13.37500,14.75000,13.37500,-0.014177
84788,2001-02-12,13.70313,15.00000,14.50000,0.010339
84788,2001-02-13,13.75000,15.06250,13.75000,-0.008688
84788,2001-02-14,13.50000,14.75000,14.43750,-0.000151
84788,2001-02-15,13.50000,14.62500,14.50000,0.008984
84788,2001-02-16,13.31250,14.12500,13.68750,-0.020635
84788,2001-02-20,12.43750,13.68750,12.50000,-0.018782
84788,2001-02-21,11.31250,12.50000,11.93750,-0.018405
84788,2001-02-22,11.37500,12.12500,11.93750,-0.004570
84788,2001-02-23,11.06250,12.06250,11.81250,-0.003938
84788,2001-02-26,11.50000,12.25000,11.93750,0.019195
84788,2001-02-27,11.62500,12.12500,11.75000,-0.011520
84788,2001-02-28,9.93750,11.75000,10.18750,-0.013727
84788,2001-03-01,9.59375,10.68750,10.43750,0.000412
84788,2001-03-02,10.00000,10.62500,10.00000,-0.004982
84788,2001-03-05,11.50000,13.06250,12.62500,0.005448
84788,2001-03-06,11.25000,14.00000,11.87500,0.011469
84788,2001-03-07,11.43750,12.56250,12.25000,0.006106
84788,2001-03-08,11.62500,12.00000,11.68750,-0.001235
84788,2001-03-09,11.37500,12.50000,12.25000,-0.024339
84788,2001-03-12,10.50000,11.68750,10.62500,-0.042339
84788,2001-03-13,10.50000,11.06250,11.00000,0.014925
84788,2001-03-14,10.12500,10.93750,10.62500,-0.025008
84788,2001-03-15,10.81250,11.43750,10.87500,0.003320
84788,2001-03-16,10.25000,11.06250,11.00000,-0.020802
84788,2001-03-19,10.12500,11.31250,10.50000,0.018614
84788,2001-03-20,10.12500,11.50000,10.25000,-0.023084
84788,2001-03-21,10.00000,10.43750,10.00000,-0.018702
84788,2001-03-22,9.56250,10.25000,10.18750,-0.004493
84788,2001-03-23,9.93750,10.81250,10.18750,0.020456
84788,2001-03-26,10.62000,11.29000,10.94000,0.011157
84788,2001-03-27,10.51000,11.80000,11.64000,0.022920
84788,2001-03-28,10.75000,11.16000,10.80000,-0.026036
84788,2001-03-29,10.00000,11.03000,10.00000,-0.005451
84788,2001-03-30,9.91000,10.84100,10.23000,0.012154
84788,2001-04-02,8.50000,10.53000,9.10000,-0.015566
84788,2001-04-03,8.50000,9.15000,8.63000,-0.035946
84788,2001-04-04,8.10000,9.00000,8.40000,-0.003278
84788,2001-04-05,8.72000,9.30000,9.12000,0.045869
84788,2001-04-06,8.20000,8.90000,8.37000,-0.020118
84788,2001-04-09,10.70000,11.90000,11.18000,0.009232
84788,2001-04-10,11.20000,13.50000,12.01000,0.029015
84788,2001-04-11,12.18000,13.65000,13.32000,-0.000807
84788,2001-04-12,13.00000,15.01000,14.67000,0.015924
84788,2001-04-16,13.65000,14.54000,14.03000,-0.004957
84788,2001-04-17,13.75000,14.87000,14.74000,0.010484
84788,2001-04-18,15.55000,18.16000,16.54000,0.039640
84788,2001-04-19,15.69000,16.90000,15.99000,0.014654
84788,2001-04-20,14.97000,16.20000,15.78000,-0.008364
84788,2001-04-23,16.02000,17.46000,16.20000,-0.016711
84788,2001-04-24,15.48000,16.80000,15.68000,-0.010891
84788,2001-04-25,14.60000,16.10000,16.09000,0.016293
84788,2001-04-26,15.00000,16.50000,15.43000,0.004979
84788,2001-04-27,15.02000,15.73000,15.27000,0.014484
84788,2001-04-30,15.59000,16.90000,15.78000,0.000796
84788,2001-05-01,15.80000,17.00000,16.89000,0.013246
84788,2001-05-02,16.84400,17.43000,17.11000,0.003388
84788,2001-05-03,16.25000,17.00000,16.75000,-0.015257
84788,2001-05-04,15.93000,17.60000,17.56000,0.013960
84788,2001-05-07,16.51000,17.53000,16.92000,-0.003170
84788,2001-05-08,15.60000,16.49000,16.18000,-0.000626
84788,2001-05-09,15.00000,15.66000,15.01000,-0.004339
84788,2001-05-10,14.60000,15.64000,14.62000,-0.000433
84788,2001-05-11,14.00000,14.80000,14.68000,-0.007514
84788,2001-05-14,13.16000,14.53000,13.33000,0.000980
84788,2001-05-15,13.14000,14.30000,13.54000,0.001457
84788,2001-05-16,13.10000,14.38000,14.13000,0.027234
84788,2001-05-17,14.03000,15.00000,14.78000,0.005877
84788,2001-05-18,14.49900,15.00000,14.72000,0.002704
84788,2001-05-21,14.75000,16.42000,16.38000,0.018567
84788,2001-05-22,15.90000,17.00000,16.25000,-0.001667
84788,2001-05-23,15.12000,16.80000,15.60000,-0.016696
84788,2001-05-24,15.25000,16.75000,16.75000,0.004134
84788,2001-05-25,16.37000,17.53000,17.09000,-0.009938
84788,2001-05-29,16.70000,17.54000,17.22000,-0.010366
84788,2001-05-30,15.62000,17.00000,15.66000,-0.017571
84788,2001-05-31,15.75000,17.20000,16.69000,0.007658
84788,2001-06-01,16.39000,17.31000,16.95000,0.005390
84788,2001-06-04,16.15000,17.40000,16.91000,0.005078
84788,2001-06-05,16.00000,17.92000,16.44000,0.014223
84788,2001-06-06,15.48000,16.72000,15.99000,-0.009440
84788,2001-06-07,15.69000,16.23000,16.13000,0.005322
84788,2001-06-08,15.65000,16.33000,15.70000,-0.009528
84788,2001-06-11,14.45000,15.55000,14.86000,-0.009595
84788,2001-06-12,14.32000,14.79000,14.64000,0.000200
84788,2001-06-13,14.11000,15.15000,14.12000,-0.009958
84788,2001-06-14,13.16000,14.12000,13.29000,-0.019201
84788,2001-06-15,12.30000,13.46000,12.49000,-0.004904
84788,2001-06-18,11.67000,12.70000,11.83000,-0.006689
84788,2001-06-19,11.20000,12.65000,11.36000,0.001768
84788,2001-06-20,11.20000,12.70000,12.53000,0.009743
84788,2001-06-21,12.59000,13.20000,13.08000,0.009901
84788,2001-06-22,12.38000,13.27500,12.40000,-0.009010
84788,2001-06-25,12.57000,13.14000,12.81000,-0.004851
84788,2001-06-26,12.04000,13.74000,13.25000,-0.000155
84788,2001-06-27,13.65000,14.25000,14.04000,-0.002117
84788,2001-06-28,13.77000,14.59000,14.36000,0.012574
84788,2001-06-29,13.72000,14.65000,14.15000,0.004332
84788,2001-07-02,13.85000,14.71000,14.53000,0.005340
